Month,Close
Jan-80,123.54
Feb-80,128.21
Mar-80,128.57
Apr-80,127.25
May-80,125.97
Jun-80,122.15
Jul-80,128.6
Aug-80,140.75
Sep-80,134.41
Oct-80,130.92
Nov-80,140.14
Dec-80,148.25
Jan-81,146.63
Feb-81,160.16
Mar-81,173.44
Apr-81,186.29
May-81,177.06
Jun-81,211.64
Jul-81,208.02
Aug-81,193.49
Sep-81,205.4
Oct-81,208.4
Nov-81,214.56
Dec-81,227.72
Jan-82,219.93
Feb-82,228.07
Mar-82,217.71
Apr-82,225.9
May-82,228.92
Jun-82,212.81
Jul-82,216.12
Aug-82,213.99
Sep-82,228.22
Oct-82,222.14
Nov-82,227.97
Dec-82,235.83
Jan-83,221.66
Feb-83,218.82
Mar-83,211.51
Apr-83,214.16
May-83,237.42
Jun-83,237.45
Jul-83,235.46
Aug-83,238.57
Sep-83,236.21
Oct-83,236.92
Nov-83,240.21
Dec-83,252.92
Jan-84,248.46
Feb-84,250.47
Mar-84,245.33
Apr-84,235.27
May-84,240.75
Jun-84,249.44
Jul-84,253.73
Aug-84,249.14
Sep-84,265.61
Oct-84,267.81
Nov-84,259.44
Dec-84,271.87
Jan-85,287.62
Feb-85,303.63
Mar-85,353.86
Apr-85,386.95
May-85,399.42
Jun-85,477.96
Jul-85,514.85
Aug-85,468.14
Sep-85,434.97
Oct-85,476.14
Nov-85,496.35
Dec-85,527.36
Jan-86,597.86
Feb-86,656.89
Mar-86,574.11
Apr-86,598.53
May-86,625.64
Jun-86,605.57
Jul-86,596.7
Aug-86,548.4
Sep-86,588.4
Oct-86,575.74
Nov-86,499.81
Dec-86,524.45
Jan-87,553.8
Feb-87,550.43
Mar-87,510.36
Apr-87,479.87
May-87,462.27
Jun-87,433.98
Jul-87,489.11
Aug-87,482.79
Sep-87,449.52
Oct-87,450.31
Nov-87,430.18
Dec-87,442.17
Jan-88,441.95
Feb-88,411.22
Mar-88,398.37
Apr-88,471.5
May-88,579.81
Jun-88,583.5
Jul-88,603.59
Aug-88,593.76
Sep-88,662.71
Oct-88,654.18
Nov-88,707.44
Dec-88,666.26
Jan-89,678.72
Feb-89,654.96
Mar-89,713.6
Apr-89,780.36
May-89,691.15
Jun-89,792.17
Jul-89,716.35
Aug-89,733.3
Sep-89,748.06
Oct-89,746.58
Nov-89,689.72
Dec-89,778.64
Jan-90,683.32
Feb-90,676.23
Mar-90,781.05
Apr-90,795.13
May-90,800.8
Jun-90,850.5
Jul-90,1098.95
Aug-90,1247.53
Sep-90,1420.08
Oct-90,1295.21
Nov-90,1196.25
Dec-90,1048.29
Jan-91,982.32
Feb-91,1220.41
Mar-91,1167.97
Apr-91,1235.11
May-91,1307.34
Jun-91,1269.91
Jul-91,1632.67
Aug-91,1795.99
Sep-91,1885.28
Oct-91,1889.84
Nov-91,1903.31
Dec-91,1908.85
Jan-92,2302.54
Feb-92,3017.68
Mar-92,4285
Apr-92,3887.72
May-92,3006.08
Jun-92,3080.54
Jul-92,2727.06
